Image,Window,R,G,B
0.jpg,W_Ref,155.565,183.565,143.565
0.jpg,B_Ref,5.3475,0.3975,2.0575
0.jpg,Temp_40,101.3525,127.785,96.02250000000001
0.jpg,Temp_44,116.39,143.04,110.73
0.jpg,Temp_46,111.5925,133.7525,80.9175
0.jpg,Temp_49,141.62,169.1925,111.63
0.jpg,Temp_54,138.76250000000002,166.6325,118.17750000000001
0.jpg,Temp_60,134.9575,168.5,135.0125
0.jpg,Temp_62,128.485,162.03,138.07500000000002
0.jpg,Temp_65,131.71,157.4975,134.42000000000002
0.jpg,Temp_71,113.47500000000001,144.6825,138.0375
1.jpg,W_Ref,155.845,183.755,144.625
1.jpg,B_Ref,5.5225,0.3175,1.955
1.jpg,Temp_40,102.705,125.5575,96.675
1.jpg,Temp_44,115.78,142.16,110.905
1.jpg,Temp_46,108.59,133.535,83.8325
1.jpg,Temp_49,141.6825,168.6525,115.2625
1.jpg,Temp_54,139.36,165.32500000000002,118.205
1.jpg,Temp_60,133.8,169.52,133.0975
1.jpg,Temp_62,127.91250000000001,162.11,136.95250000000001
1.jpg,Temp_65,129.09,159.46,136.5075
1.jpg,Temp_71,113.4625,145.315,137.3825
2.jpg,W_Ref,155.78,183.5575,145.54500000000002
2.jpg,B_Ref,3.1025,1.5125,2.0825
2.jpg,Temp_40,103.1925,126.0625,97.2225
2.jpg,Temp_44,115.9925,143.085,111.02250000000001
2.jpg,Temp_46,109.1125,134.0275,85.42
2.jpg,Temp_49,142.34,169.6625,112.8775
2.jpg,Temp_54,138.9225,164.5725,118.74000000000001
2.jpg,Temp_60,138.5175,168.275,132.62
2.jpg,Temp_62,132.45250000000001,159.2375,135.3175
2.jpg,Temp_65,131.5975,157.865,134.965
2.jpg,Temp_71,112.97,144.13750000000002,137.8475
3.jpg,W_Ref,155.88,183.4,147.51500000000001
3.jpg,B_Ref,2.0100000000000002,2.0,0.96
3.jpg,Temp_40,101.785,126.83500000000001,99.1175
3.jpg,Temp_44,117.2425,142.63,110.82000000000001
3.jpg,Temp_46,108.875,132.94,84.7375
3.jpg,Temp_49,143.2525,170.155,112.9425
3.jpg,Temp_54,138.3825,166.26500000000001,118.655
3.jpg,Temp_60,133.96,169.15,136.3175
3.jpg,Temp_62,128.335,162.4775,137.625
3.jpg,Temp_65,130.5175,157.83,135.60750000000002
3.jpg,Temp_71,112.095,144.9575,134.74
4.jpg,W_Ref,155.945,183.915,144.245
4.jpg,B_Ref,5.07,0.635,1.6275
4.jpg,Temp_40,103.935,125.15,99.5625
4.jpg,Temp_44,116.515,142.645,109.6225
4.jpg,Temp_46,108.8225,134.475,84.745
4.jpg,Temp_49,142.87,169.7125,112.9775
4.jpg,Temp_54,138.9025,164.8975,117.325
4.jpg,Temp_60,138.5675,167.065,135.215
4.jpg,Temp_62,128.835,162.98,136.3675
4.jpg,Temp_65,131.04,158.1725,134.61
4.jpg,Temp_71,113.3525,145.445,134.35750000000002
5.jpg,W_Ref,156.3,184.3,144.525
5.jpg,B_Ref,2.1125,1.955,1.365
5.jpg,Temp_40,101.3175,128.145,95.9925
5.jpg,Temp_44,116.7975,142.665,112.11
5.jpg,Temp_46,108.9475,133.3425,83.9675
5.jpg,Temp_49,141.51500000000001,170.3775,111.7325
5.jpg,Temp_54,137.5725,166.6725,117.9925
5.jpg,Temp_60,136.3225,167.9375,135.865
5.jpg,Temp_62,127.79,161.82500000000002,137.645
5.jpg,Temp_65,131.175,158.06,134.1325
5.jpg,Temp_71,112.6875,144.115,134.9125
6.jpg,W_Ref,155.76,183.76,143.76
6.jpg,B_Ref,3.1025,1.5125,2.0825
6.jpg,Temp_40,103.655,126.8375,95.87
6.jpg,Temp_44,117.3325,143.095,107.75750000000001
6.jpg,Temp_46,109.86500000000001,134.355,86.7625
6.jpg,Temp_49,143.14000000000001,169.4925,112.7275
6.jpg,Temp_54,137.26,166.6225,118.1725
6.jpg,Temp_60,138.1275,167.3075,135.7
6.jpg,Temp_62,128.2425,162.0,137.5425
6.jpg,Temp_65,130.6625,158.175,134.5925
6.jpg,Temp_71,113.7225,145.805,135.8825
7.jpg,W_Ref,155.4,182.8975,147.21
7.jpg,B_Ref,5.7125,0.1775,2.0075
7.jpg,Temp_40,102.9975,126.4325,96.8175
7.jpg,Temp_44,116.97,142.4475,106.8575
7.jpg,Temp_46,110.4175,134.315,80.0825
7.jpg,Temp_49,143.165,169.76250000000002,114.5625
7.jpg,Temp_54,139.2475,166.4475,118.0925
7.jpg,Temp_60,135.825,168.6825,134.075
7.jpg,Temp_62,129.8025,161.8,136.1275
7.jpg,Temp_65,130.53,157.455,135.025
7.jpg,Temp_71,113.1525,144.375,137.5475
8.jpg,W_Ref,155.985,183.985,143.985
8.jpg,B_Ref,3.6875,1.2625,2.09
8.jpg,Temp_40,103.035,125.9825,99.92750000000001
8.jpg,Temp_44,117.795,141.7775,112.14
8.jpg,Temp_46,109.28750000000001,134.0475,84.4625
8.jpg,Temp_49,142.5025,169.0,112.58500000000001
8.jpg,Temp_54,138.065,166.04500000000002,117.9525
8.jpg,Temp_60,134.39000000000001,168.6175,136.4
8.jpg,Temp_62,127.0975,162.335,135.3975
8.jpg,Temp_65,131.87,157.3675,135.2175
8.jpg,Temp_71,112.9775,145.13,138.08
9.jpg,W_Ref,155.8375,182.275,146.5
9.jpg,B_Ref,4.58,0.805,1.4000000000000001
9.jpg,Temp_40,101.3275,126.4075,96.2
9.jpg,Temp_44,116.4,142.6725,111.805
9.jpg,Temp_46,109.6375,134.315,85.615
9.jpg,Temp_49,143.1275,169.6725,114.37
9.jpg,Temp_54,139.2925,165.24,117.6525
9.jpg,Temp_60,137.865,167.6,135.5125
9.jpg,Temp_62,128.19,162.495,136.565
9.jpg,Temp_65,131.5675,158.745,134.5925
9.jpg,Temp_71,113.015,143.665,140.555
10.jpg,W_Ref,155.46,183.47,144.085
10.jpg,B_Ref,2.0525,1.9575,1.98
10.jpg,Temp_40,103.24000000000001,126.575,98.4525
10.jpg,Temp_44,116.5675,142.5875,111.395
10.jpg,Temp_46,110.3225,134.8775,85.115
10.jpg,Temp_49,141.7125,169.345,114.495
10.jpg,Temp_54,137.18,167.055,117.99000000000001
10.jpg,Temp_60,136.83,169.0225,136.87
10.jpg,Temp_62,131.1575,161.2125,136.38
10.jpg,Temp_65,131.895,158.10750000000002,136.6575
10.jpg,Temp_71,113.0425,144.3075,137.4
11.jpg,W_Ref,155.68,183.6425,143.915
11.jpg,B_Ref,3.8625000000000003,1.2025000000000001,2.1125
11.jpg,Temp_40,102.5925,126.495,97.2675
11.jpg,Temp_44,116.125,143.39000000000001,107.0275
11.jpg,Temp_46,108.97,135.3725,81.14750000000001
11.jpg,Temp_49,142.8725,169.08,113.28
11.jpg,Temp_54,139.5525,165.3125,117.4025
11.jpg,Temp_60,133.79500000000002,169.1425,133.98
11.jpg,Temp_62,127.885,162.8925,134.6975
11.jpg,Temp_65,132.23,156.57,136.1475
11.jpg,Temp_71,113.14750000000001,144.38,137.4125
12.jpg,W_Ref,156.0,183.86,145.32500000000002
12.jpg,B_Ref,3.7225,1.2725,2.1375
12.jpg,Temp_40,102.9775,126.85000000000001,97.35000000000001
12.jpg,Temp_44,116.2025,143.4575,107.9775
12.jpg,Temp_46,109.9775,134.21,86.0125
12.jpg,Temp_49,143.36,169.2925,113.46000000000001
12.jpg,Temp_54,138.1475,166.7875,118.2125
12.jpg,Temp_60,136.0975,167.8525,136.88750000000002
12.jpg,Temp_62,127.98,162.1875,136.1675
12.jpg,Temp_65,131.825,156.8625,136.2625
12.jpg,Temp_71,113.4325,143.9025,140.1
13.jpg,W_Ref,155.9125,183.3425,148.3175
13.jpg,B_Ref,2.825,1.7125000000000001,0.7375
13.jpg,Temp_40,102.7825,126.8325,97.9625
13.jpg,Temp_44,116.02250000000001,142.7825,110.935
13.jpg,Temp_46,112.0875,133.09,86.43
13.jpg,Temp_49,141.505,169.7125,111.47500000000001
13.jpg,Temp_54,137.64000000000001,166.725,118.015
