Image,Window,R,G,B
0.jpg,W_Ref,226.1125,252.57250000000002,230.8225
0.jpg,B_Ref,29.695,30.695,24.695
0.jpg,Temp_05,93.83,26.177500000000002,14.9
0.jpg,Temp_10,108.64,21.365000000000002,21.0125
0.jpg,Temp_15,105.41250000000001,26.675,25.505
0.jpg,Temp_20,119.8625,35.3575,27.9125
0.jpg,Temp_25,107.405,27.225,29.435000000000002
0.jpg,Temp_30,80.6125,35.06,31.01
0.jpg,Temp_35,41.410000000000004,24.330000000000002,26.5075
0.jpg,Temp_40,39.6825,29.72,30.66
0.jpg,Temp_45,33.6175,22.315,23.830000000000002
0.jpg,Temp_50,30.2725,20.78,18.0
1.jpg,W_Ref,226.1125,252.57250000000002,230.8225
1.jpg,B_Ref,29.695,30.695,24.695
1.jpg,Temp_05,93.83,26.177500000000002,14.9
1.jpg,Temp_10,108.64,21.365000000000002,21.0125
1.jpg,Temp_15,105.41250000000001,26.675,25.505
1.jpg,Temp_20,119.8625,35.3575,27.9125
1.jpg,Temp_25,107.405,27.225,29.435000000000002
1.jpg,Temp_30,80.6125,35.06,31.01
1.jpg,Temp_35,41.410000000000004,24.330000000000002,26.5075
1.jpg,Temp_40,39.6825,29.72,30.66
1.jpg,Temp_45,33.6175,22.315,23.830000000000002
1.jpg,Temp_50,30.2725,20.78,18.0
2.jpg,W_Ref,224.86,252.86,230.86
2.jpg,B_Ref,29.23,30.23,24.23
2.jpg,Temp_05,95.8175,24.8575,15.195
2.jpg,Temp_10,107.0775,22.16,19.325
2.jpg,Temp_15,105.9825,26.755,26.03
2.jpg,Temp_20,121.0475,35.1325,28.435000000000002
2.jpg,Temp_25,109.7225,26.7925,30.0975
2.jpg,Temp_30,81.145,35.155,29.085
2.jpg,Temp_35,40.945,24.5925,25.8425
2.jpg,Temp_40,39.445,30.4125,31.52
2.jpg,Temp_45,33.69,22.0225,24.36
2.jpg,Temp_50,30.7575,21.0775,17.625
3.jpg,W_Ref,223.2375,251.2375,227.6125
3.jpg,B_Ref,29.997500000000002,30.997500000000002,24.997500000000002
3.jpg,Temp_05,94.3525,26.415,16.0625
3.jpg,Temp_10,107.53750000000001,22.1225,19.8475
3.jpg,Temp_15,105.4625,26.215,25.675
3.jpg,Temp_20,119.86500000000001,35.5025,28.1975
3.jpg,Temp_25,108.80250000000001,27.3075,29.6375
3.jpg,Temp_30,76.9475,35.09,31.245
3.jpg,Temp_35,39.4,24.28,24.900000000000002
3.jpg,Temp_40,39.735,29.735,30.735
3.jpg,Temp_45,33.9225,22.392500000000002,23.85
3.jpg,Temp_50,30.4175,21.105,17.5575
4.jpg,W_Ref,224.235,252.235,228.7725
4.jpg,B_Ref,29.560000000000002,30.560000000000002,24.560000000000002
4.jpg,Temp_05,95.64750000000001,25.92,19.177500000000002
4.jpg,Temp_10,107.4975,21.267500000000002,18.38
4.jpg,Temp_15,105.03750000000001,27.195,26.295
4.jpg,Temp_20,120.3725,35.155,28.12
4.jpg,Temp_25,109.1825,26.6625,29.965
