Image,Window,R,G,B
0.jpg,W_Ref,147.45625,174.978125,159.6675
0.jpg,B_Ref,18.73375,18.4375,15.17625
0.jpg,H_20,84.52625,148.52875,167.96812500000001
0.jpg,H_40,71.35875,152.08125,191.256875
0.jpg,H_60,51.32,133.8625,170.59
0.jpg,H_80,28.00875,90.97562500000001,112.746875
1.jpg,W_Ref,148.625625,175.245,160.49687500000002
1.jpg,B_Ref,18.335625,18.456875,15.253125
1.jpg,H_20,84.55625,148.110625,168.6275
1.jpg,H_40,71.9625,151.53062500000001,192.31875
1.jpg,H_60,50.454375,134.08,170.129375
1.jpg,H_80,28.39875,91.005625,114.23125
2.jpg,W_Ref,147.0925,171.821875,157.54875
2.jpg,B_Ref,19.36625,18.296875,14.571875
2.jpg,H_20,85.405625,147.775,170.63750000000002
2.jpg,H_40,72.394375,151.80625,192.515625
2.jpg,H_60,50.181875,134.048125,171.56062500000002
2.jpg,H_80,27.92,91.0325,112.89375
3.jpg,W_Ref,151.84062500000002,178.316875,162.609375
3.jpg,B_Ref,18.861875,18.725,14.19875
3.jpg,H_20,83.42125,148.21562500000002,172.39875
3.jpg,H_40,72.36687500000001,151.830625,192.96812500000001
3.jpg,H_60,50.341875,133.255625,169.5425
3.jpg,H_80,27.263125000000002,89.99375,109.62875
4.jpg,W_Ref,148.108125,175.04875,160.253125
4.jpg,B_Ref,18.995,18.76,13.46625
4.jpg,H_20,84.42875000000001,148.66625,169.950625
4.jpg,H_40,72.120625,151.98375000000001,190.945
4.jpg,H_60,50.3775,133.459375,169.66875000000002
4.jpg,H_80,27.141875,90.051875,110.98375
5.jpg,W_Ref,149.736875,176.69125,161.57
5.jpg,B_Ref,19.016875,18.490000000000002,13.36875
5.jpg,H_20,85.12,148.11125,171.568125
5.jpg,H_40,72.235625,151.8675,191.041875
5.jpg,H_60,50.3025,133.56187500000001,169.0325
5.jpg,H_80,28.115625,89.74375,111.790625
6.jpg,W_Ref,147.9225,174.760625,159.553125
6.jpg,B_Ref,18.809375,18.565,14.33125
6.jpg,H_20,85.219375,148.52812500000002,169.80875
6.jpg,H_40,72.65625,152.168125,190.82
6.jpg,H_60,50.843125,133.638125,169.85
6.jpg,H_80,28.354375,90.269375,110.230625
7.jpg,W_Ref,148.28375,176.19125,161.158125
7.jpg,B_Ref,20.298125,17.87875,13.186250000000001
7.jpg,H_20,84.82000000000001,148.203125,169.194375
7.jpg,H_40,72.69875,151.578125,191.22875
7.jpg,H_60,50.52375,134.25375,169.071875
7.jpg,H_80,28.6875,90.930625,113.05437500000001
8.jpg,W_Ref,147.044375,175.160625,160.75125
8.jpg,B_Ref,19.728125000000002,18.267500000000002,15.565
8.jpg,H_20,86.331875,148.359375,168.645
8.jpg,H_40,71.125625,151.626875,190.21687500000002
8.jpg,H_60,50.728125,134.09375,170.225625
8.jpg,H_80,28.68875,91.041875,112.15875
9.jpg,W_Ref,148.35375,176.16,161.406875
9.jpg,B_Ref,18.624375,18.080000000000002,15.051875
9.jpg,H_20,85.791875,145.0625,161.395625
9.jpg,H_40,75.469375,150.921875,185.203125
9.jpg,H_60,52.875,134.16125,170.19
9.jpg,H_80,31.673750000000002,93.424375,113.34937500000001
10.jpg,W_Ref,147.6,175.48,160.635625
10.jpg,B_Ref,19.0375,18.431875,13.97
10.jpg,H_20,85.858125,147.6325,165.24125
10.jpg,H_40,73.234375,152.1775,190.47875
10.jpg,H_60,52.22875,135.0525,171.316875
10.jpg,H_80,29.76375,92.50625000000001,114.3525
11.jpg,W_Ref,150.0375,177.01500000000001,161.99
11.jpg,B_Ref,18.903125,18.350625,14.1975
11.jpg,H_20,84.948125,148.2575,167.898125
11.jpg,H_40,72.60062500000001,151.70375,191.730625
11.jpg,H_60,50.06125,135.068125,170.479375
11.jpg,H_80,29.160625,90.5625,113.1875
12.jpg,W_Ref,149.345,176.215,161.03875
12.jpg,B_Ref,18.43375,18.23375,16.88875
12.jpg,H_20,84.75875,148.31,168.775625
12.jpg,H_40,72.513125,151.646875,190.02875
12.jpg,H_60,49.409375000000004,134.74812500000002,170.34312500000001
12.jpg,H_80,27.603125000000002,91.00875,111.82875
13.jpg,W_Ref,147.835625,175.364375,160.845625
13.jpg,B_Ref,17.975,18.46375,15.425
13.jpg,H_20,85.726875,148.00875,167.751875
13.jpg,H_40,72.76625,152.26375000000002,189.50625
13.jpg,H_60,51.3725,135.025625,171.67625
13.jpg,H_80,29.738125,92.55,115.26125
14.jpg,W_Ref,147.44625,174.828125,159.99625
14.jpg,B_Ref,19.348125,18.154375,14.328125
14.jpg,H_20,84.356875,148.5825,168.958125
14.jpg,H_40,72.083125,151.6825,189.9325
14.jpg,H_60,50.73875,134.261875,170.674375
14.jpg,H_80,27.865625,91.439375,112.633125
15.jpg,W_Ref,148.660625,175.101875,160.84125
15.jpg,B_Ref,18.831875,18.083750000000002,16.689375000000002
15.jpg,H_20,86.455625,148.018125,167.55
15.jpg,H_40,72.4525,152.486875,191.43312500000002
15.jpg,H_60,50.64125,134.26500000000001,171.315625
15.jpg,H_80,27.68375,91.31625,113.44375000000001
16.jpg,W_Ref,147.7875,175.245625,160.510625
16.jpg,B_Ref,19.23875,18.010625,15.343125
16.jpg,H_20,84.9925,148.06,167.6475
16.jpg,H_40,72.56375,151.84125,189.57
16.jpg,H_60,50.220625,134.255,170.984375
16.jpg,H_80,28.094375,91.689375,112.938125
17.jpg,W_Ref,147.205,174.521875,159.73125000000002
17.jpg,B_Ref,18.97875,18.461875,13.348125
17.jpg,H_20,87.1075,148.01125,168.140625
17.jpg,H_40,72.05125,151.458125,191.93
