Image,Window,R,G,B
0.jpg,W_Ref,160.335,183.41375,156.64125
0.jpg,B_Ref,18.339375,18.128125,13.23375
0.jpg,H_20,86.479375,155.241875,162.570625
0.jpg,H_40,73.8175,156.240625,173.140625
0.jpg,H_60,50.029375,141.219375,163.956875
0.jpg,H_80,30.76,99.875625,119.514375
1.jpg,W_Ref,160.07375,183.4575,157.49937500000001
1.jpg,B_Ref,19.040625000000002,17.73,14.12625
1.jpg,H_20,87.619375,154.71625,163.52125
1.jpg,H_40,73.465625,156.128125,172.5725
1.jpg,H_60,50.13125,141.5925,162.7875
1.jpg,H_80,31.62,99.85125000000001,119.59625
2.jpg,W_Ref,160.71,183.6725,157.22
2.jpg,B_Ref,18.23,18.35875,12.748750000000001
2.jpg,H_20,88.160625,154.265625,163.03625
2.jpg,H_40,74.18375,156.3225,173.475625
2.jpg,H_60,50.085625,141.34125,163.463125
2.jpg,H_80,31.69625,99.625,119.35062500000001
3.jpg,W_Ref,159.74937500000001,183.49125,158.15125
3.jpg,B_Ref,18.403125,18.348125,13.47875
3.jpg,H_20,88.21125,154.4,161.98625
3.jpg,H_40,73.66125,156.589375,174.025625
3.jpg,H_60,50.394375000000004,140.8425,163.24687500000002
3.jpg,H_80,31.19875,99.47125,119.291875
4.jpg,W_Ref,160.475,183.27625,158.125
4.jpg,B_Ref,18.900625,17.830625,12.663125
4.jpg,H_20,87.001875,154.969375,163.27937500000002
4.jpg,H_40,74.170625,156.49937500000001,172.83875
4.jpg,H_60,50.379375,141.33125,162.7275
4.jpg,H_80,31.675,99.435,119.455
5.jpg,W_Ref,160.1725,183.81125,156.314375
5.jpg,B_Ref,19.32,17.64875,13.330625
5.jpg,H_20,88.094375,154.54375000000002,162.234375
5.jpg,H_40,74.1525,156.64875,174.15
5.jpg,H_60,49.683125000000004,141.40312500000002,163.05
5.jpg,H_80,29.9225,100.655625,119.37
6.jpg,W_Ref,161.253125,183.6775,156.583125
6.jpg,B_Ref,18.745,17.686875,13.51375
6.jpg,H_20,88.311875,153.895625,163.250625
6.jpg,H_40,74.5125,155.87187500000002,173.48875
6.jpg,H_60,49.81,140.8525,163.67375
6.jpg,H_80,31.09,99.1925,119.53125
7.jpg,W_Ref,160.4925,183.3425,157.54625000000001
7.jpg,B_Ref,19.2775,17.56,13.06
7.jpg,H_20,87.966875,154.75875,161.84
7.jpg,H_40,73.62875,156.191875,173.18375
7.jpg,H_60,49.903125,141.29625000000001,163.97125
7.jpg,H_80,30.061875,100.4475,119.706875
8.jpg,W_Ref,160.8725,183.26375000000002,155.88125
8.jpg,B_Ref,18.340625,18.199375,12.58
8.jpg,H_20,87.653125,154.59312500000001,162.46
8.jpg,H_40,74.818125,156.55937500000002,172.73
8.jpg,H_60,49.79,140.95375,164.006875
8.jpg,H_80,30.453125,99.841875,119.5275
9.jpg,W_Ref,160.79,183.7225,157.66
9.jpg,B_Ref,18.740625,17.931875,13.46
9.jpg,H_20,88.099375,154.30937500000002,163.17625
9.jpg,H_40,73.54125,155.808125,173.255
9.jpg,H_60,51.088125,140.76500000000001,164.305625
9.jpg,H_80,30.04,100.36687500000001,119.403125
10.jpg,W_Ref,160.445,183.52375,156.75125
10.jpg,B_Ref,18.540625000000002,17.92,13.779375
10.jpg,H_20,88.11375,154.42375,163.323125
10.jpg,H_40,74.576875,155.865625,172.449375
10.jpg,H_60,50.61125,141.26500000000001,163.67875
10.jpg,H_80,30.738125,99.749375,118.84375
11.jpg,W_Ref,160.5675,183.7775,156.08125
11.jpg,B_Ref,19.4725,17.421875,13.39625
11.jpg,H_20,87.67937500000001,154.348125,162.7725
11.jpg,H_40,74.08562500000001,156.259375,172.805625
11.jpg,H_60,50.32875,140.78,162.73125000000002
11.jpg,H_80,30.45375,100.374375,119.67750000000001
12.jpg,W_Ref,160.55,183.38875000000002,157.95625
12.jpg,B_Ref,18.739375,17.651875,13.939375
12.jpg,H_20,86.61,154.635625,162.565625
12.jpg,H_40,74.36375,156.096875,172.786875
12.jpg,H_60,49.8775,141.639375,164.1625
12.jpg,H_80,30.781875,99.984375,120.185625
13.jpg,W_Ref,160.3775,183.2875,157.45125000000002
13.jpg,B_Ref,17.78,18.6025,13.591875
13.jpg,H_20,87.4025,154.210625,162.06625
13.jpg,H_40,73.94,156.37,172.58625
13.jpg,H_60,49.404375,141.3625,163.350625
13.jpg,H_80,30.211875,100.026875,119.38125000000001
14.jpg,W_Ref,161.0675,183.15,157.63625
14.jpg,B_Ref,19.54,17.51125,12.62875
14.jpg,H_20,88.730625,153.970625,162.910625
14.jpg,H_40,74.5525,156.326875,172.021875
14.jpg,H_60,49.485625,140.941875,164.87187500000002
14.jpg,H_80,30.896250000000002,99.655,119.73375
15.jpg,W_Ref,160.61,183.59875,157.23625
15.jpg,B_Ref,19.481875,17.392500000000002,13.54875
15.jpg,H_20,87.9675,154.84875,163.8425
15.jpg,H_40,72.946875,156.195625,173.56625
15.jpg,H_60,49.975,141.669375,162.800625
15.jpg,H_80,30.1,100.090625,119.581875
16.jpg,W_Ref,160.435,183.5025,156.695
16.jpg,B_Ref,18.810625,17.861875,14.9875
16.jpg,H_20,87.328125,154.699375,163.21562500000002
16.jpg,H_40,74.164375,156.475625,173.168125
16.jpg,H_60,50.465625,140.941875,162.77375
16.jpg,H_80,30.754375,100.63125000000001,120.055
17.jpg,W_Ref,160.398125,183.068125,157.32125
17.jpg,B_Ref,17.98125,18.38375,13.873125
17.jpg,H_20,86.373125,154.71625,161.876875
17.jpg,H_40,74.63,155.566875,170.48
17.jpg,H_60,49.88,140.981875,164.365
17.jpg,H_80,30.496875,99.5975,119.81125
18.jpg,W_Ref,160.848125,183.38375,158.335
18.jpg,B_Ref,18.73,18.16125,13.963750000000001
18.jpg,H_20,86.500625,154.7075,161.785
18.jpg,H_40,73.38625,156.54,172.879375
18.jpg,H_60,49.700625,141.34187500000002,162.234375
18.jpg,H_80,29.599375000000002,100.53687500000001,119.515
19.jpg,W_Ref,160.751875,183.3525,157.180625
19.jpg,B_Ref,18.65125,17.701875,13.182500000000001
19.jpg,H_20,87.14375,155.258125,162.956875
19.jpg,H_40,74.105,156.38125,172.168125
19.jpg,H_60,49.7475,141.166875,162.695
19.jpg,H_80,29.7225,100.13,118.775625
20.jpg,W_Ref,161.125,183.38125,156.93625
20.jpg,B_Ref,19.320625,17.739375,12.6
20.jpg,H_20,85.15375,155.923125,161.571875
20.jpg,H_40,74.399375,156.365625,171.929375
20.jpg,H_60,49.968125,141.45125000000002,163.455625
20.jpg,H_80,31.2625,99.2975,119.309375
21.jpg,W_Ref,160.41,183.62,156.03375
21.jpg,B_Ref,18.844375,17.6975,13.37625
21.jpg,H_20,86.675625,154.7475,163.2575
21.jpg,H_40,73.690625,155.99875,173.190625
21.jpg,H_60,49.76625,141.25125,162.47375
21.jpg,H_80,29.643125,100.51,119.64
22.jpg,W_Ref,160.165,183.15375,156.81
22.jpg,B_Ref,18.87,17.355625,13.807500000000001
22.jpg,H_20,87.414375,154.04500000000002,162.078125
22.jpg,H_40,73.64375,156.659375,171.9875
22.jpg,H_60,50.155625,140.923125,164.9975
22.jpg,H_80,30.173125,100.181875,119.42125
23.jpg,W_Ref,160.835,182.985,156.85
23.jpg,B_Ref,17.829375,18.374375,13.351875
23.jpg,H_20,86.329375,155.351875,162.586875
23.jpg,H_40,74.851875,155.82500000000002,171.74937500000001
23.jpg,H_60,49.915625,140.97125,162.82125
23.jpg,H_80,30.266875,99.93125,119.621875
24.jpg,W_Ref,160.53,183.45875,157.63625
24.jpg,B_Ref,18.4975,18.26125,13.63875
24.jpg,H_20,87.7925,154.4925,162.401875
24.jpg,H_40,74.155,156.126875,173.27937500000002
