Image,Window,R,G,B
0.jpg,W_Ref,159.22,182.22,156.22
0.jpg,B_Ref,18.78,17.330000000000002,12.120000000000001
0.jpg,H_20,79.8675,138.1875,141.74
0.jpg,H_40,60.22,127.1975,132.0025
0.jpg,H_60,40.22,116.7325,128.66
0.jpg,H_80,26.62,83.395,104.4775
1.jpg,W_Ref,158.3725,182.76500000000001,158.08
1.jpg,B_Ref,19.96,16.48,14.645
1.jpg,H_20,76.9,139.1675,137.26500000000001
1.jpg,H_40,60.755,127.465,132.8325
1.jpg,H_60,39.825,117.0275,125.9625
1.jpg,H_80,26.7575,83.49,102.6425
2.jpg,W_Ref,160.0,183.0,157.0
2.jpg,B_Ref,17.4425,17.7175,11.96
2.jpg,H_20,77.79,136.5975,140.58
2.jpg,H_40,58.7575,128.1425,130.475
2.jpg,H_60,39.2825,116.6875,129.085
2.jpg,H_80,26.76,83.7175,102.93
3.jpg,W_Ref,159.2875,183.0,157.15
3.jpg,B_Ref,19.5725,17.0275,12.200000000000001
3.jpg,H_20,78.7825,139.1225,140.035
3.jpg,H_40,60.58,128.335,132.8475
3.jpg,H_60,40.54,116.3,125.92750000000001
3.jpg,H_80,25.165,84.42,104.875
4.jpg,W_Ref,159.74,182.395,157.94
4.jpg,B_Ref,20.87,15.855,12.4525
4.jpg,H_20,79.6175,138.18,141.05
4.jpg,H_40,59.3675,126.9525,132.0225
4.jpg,H_60,40.405,116.55,128.6
4.jpg,H_80,26.465,83.5875,102.82000000000001
5.jpg,W_Ref,159.70000000000002,182.70000000000002,156.70000000000002
5.jpg,B_Ref,20.53,16.47,12.120000000000001
5.jpg,H_20,79.5425,138.3375,138.37
5.jpg,H_40,62.237500000000004,127.11,131.7725
5.jpg,H_60,41.4125,116.7,126.2025
5.jpg,H_80,26.71,83.6725,101.74000000000001
6.jpg,W_Ref,160.0,183.0,157.0
6.jpg,B_Ref,20.335,15.9125,12.365
6.jpg,H_20,79.0325,138.0525,140.195
6.jpg,H_40,59.7475,127.62,130.6525
6.jpg,H_60,39.9575,116.47,128.3425
6.jpg,H_80,26.365000000000002,82.8525,101.09
7.jpg,W_Ref,160.0,183.0,157.0
7.jpg,B_Ref,20.46,16.14,11.88
7.jpg,H_20,79.775,138.165,139.07500000000002
7.jpg,H_40,60.2025,127.425,130.575
7.jpg,H_60,40.135,116.0675,128.4575
7.jpg,H_80,25.1175,83.015,103.4375
8.jpg,W_Ref,159.22,182.22,156.22
8.jpg,B_Ref,19.490000000000002,16.47,11.8
8.jpg,H_20,78.74,138.29,137.7125
8.jpg,H_40,60.6,127.71000000000001,131.195
8.jpg,H_60,41.0575,116.53,127.25
8.jpg,H_80,26.7,83.4075,102.1125
9.jpg,W_Ref,160.0,182.655,158.20000000000002
9.jpg,B_Ref,19.36,16.76,11.96
9.jpg,H_20,78.6575,139.02,138.755
9.jpg,H_40,60.2425,127.10000000000001,133.5
9.jpg,H_60,39.8025,117.5,128.905
9.jpg,H_80,25.1125,84.2175,104.535
10.jpg,W_Ref,159.70000000000002,182.70000000000002,156.70000000000002
10.jpg,B_Ref,18.7,16.62,11.64
10.jpg,H_20,77.735,139.2425,138.84
10.jpg,H_40,57.8225,128.6275,129.825
10.jpg,H_60,40.515,116.6825,125.89750000000001
10.jpg,H_80,26.36,83.185,101.685
11.jpg,W_Ref,159.70000000000002,182.70000000000002,156.70000000000002
11.jpg,B_Ref,18.7,16.05,12.35
11.jpg,H_20,80.47500000000001,138.73,137.5725
11.jpg,H_40,60.1075,127.75500000000001,132.48250000000002
11.jpg,H_60,40.115,117.3075,126.9525
11.jpg,H_80,26.77,83.0425,103.035
12.jpg,W_Ref,160.0,182.655,158.20000000000002
12.jpg,B_Ref,18.4875,16.9825,11.8
12.jpg,H_20,79.0675,138.5175,139.33
12.jpg,H_40,59.870000000000005,127.395,132.1125
12.jpg,H_60,40.6525,116.82000000000001,126.035
12.jpg,H_80,25.0575,84.2075,102.1375
13.jpg,W_Ref,159.70000000000002,182.70000000000002,156.70000000000002
13.jpg,B_Ref,17.44,18.325,12.9725
13.jpg,H_20,80.71000000000001,138.3725,137.26500000000001
13.jpg,H_40,58.685,128.665,131.2625
